material_id,exp,mp,diff
mp-11521,-0.4633,-0.507203,0.043903
mp-27863,-2.74061,-2.78385,0.04324
mp-5407,-0.57,-0.613062,0.043062
mp-206,-0.6322,-0.674952,0.042752
mp-1079172,-0.518201,-0.56066,0.042459
mp-1204381,-0.335457,-0.377845,0.042388
mp-1045,-3.748342,-3.790726,0.042384
mp-19330,-2.664032,-2.705683,0.041651
mp-13869,-1.805986,-1.847094,0.041108
mp-20857,-0.3607,-0.401555,0.040855
mp-11526,-0.3016,-0.342441,0.040841
mp-11261,-0.8157,-0.856151,0.040451
mp-999124,-0.883,-0.923416,0.040416
mp-640024,-0.3596,-0.399771,0.040171
mp-11871,-0.4322,-0.47224,0.04004
mp-493,-0.2011,-0.240537,0.039437
mp-1077177,-0.136597,-0.175521,0.038924
mp-535,-0.022983,-0.061752,0.038769
mp-1132,-1.342121,-1.380703,0.038582
mp-22300,-0.1202,-0.15858,0.03838
mp-20787,-0.3348,-0.372982,0.038182
mp-13095,-0.5607,-0.598617,0.037917
mp-30808,-0.284,-0.321878,0.037878
mp-853,-0.3026,-0.339869,0.037269
mp-1495,-0.7866,-0.823612,0.037012
mp-672232,-0.396781,-0.433437,0.036656
mp-1127,-1.0385,-1.075063,0.036563
mp-10904,-1.0116,-1.04807,0.03647
mp-580354,-0.352385,-0.388746,0.036361
mp-11476,-0.8364,-0.872717,0.036317
mp-712,-0.2004,-0.235505,0.035105
mp-15965,-0.710336,-0.745258,0.034922
mp-31164,-0.237155,-0.272017,0.034862
mp-5748,-0.6032,-0.637455,0.034255
mp-2720,-1.0147,-1.047986,0.033286
mp-951,-0.6892,-0.722236,0.033036
mp-11852,-0.1752,-0.208113,0.032913
mp-546,-0.7296,-0.762437,0.032837
mp-1009008,-1.561108,-1.593565,0.032457
mp-11491,-0.3109,-0.342974,0.032074
mp-979115,-0.0238,-0.055691,0.031891
mp-21305,-0.285,-0.316459,0.031459
mp-2675,-0.190802,-0.221884,0.031082
mp-12659,-0.1078,-0.137903,0.030103
mp-1113,-0.231814,-0.261862,0.030048
mp-580357,-0.0788,-0.108795,0.029995
mp-982,-0.8996,-0.929098,0.029498
mp-11263,-0.3117,-0.340647,0.028947
mp-697068,-0.6654,-0.693718,0.028318
mp-1118,-0.5244,-0.552596,0.028196
mp-4813,-0.4001,-0.42827,0.02817
mp-11191,-0.345476,-0.373526,0.02805
mp-1057,-0.585415,-0.613206,0.027791
mp-30386,-0.6954,-0.723176,0.027776
mp-17216,-0.777128,-0.804493,0.027365
mp-1515,-0.625,-0.652305,0.027305
mp-196,-0.433641,-0.460905,0.027264
mp-1553,-0.3099,-0.337063,0.027163
mp-14019,-0.2145,-0.241493,0.026993
mp-7948,-0.273627,-0.300539,0.026912
mp-10895,-0.2871,-0.313831,0.026731
mp-2333,-0.7597,-0.786404,0.026704
mp-583070,-0.139385,-0.165997,0.026612
mp-1064492,-3.290241,-3.316402,0.026161
mp-636256,-0.1027,-0.12874,0.02604
mp-865585,-0.3327,-0.358684,0.025984
mp-21427,-0.826,-0.851881,0.025881
mp-12086,-0.1119,-0.137705,0.025805
mp-8939,-0.321697,-0.347283,0.025586
mp-331,-0.426,-0.451451,0.025451
mp-2019,-0.1068,-0.132221,0.025421
mp-1001834,-1.913224,-1.938636,0.025412
mp-7832,-0.342539,-0.367678,0.025139
mp-1317,-0.162615,-0.187736,0.025121
